date,formatted_date,rank,trending_search,traffic,article_title,article_source,article_snippet,related_queries
20240101,Jan 1 2024,1,New Year 2024,5M+,New Year's Eve celebrations around the world,CNN,"Millions gather in Times Square and cities worldwide to ring in 2024",Happy New Year; New Year's Eve; NYE 2024
20240101,Jan 1 2024,2,Rose Bowl,2M+,Michigan wins College Football Playoff semifinal,ESPN,"Michigan defeats Alabama 27-20 in overtime thriller at Rose Bowl",College Football Playoff; Michigan football; Alabama football
20240101,Jan 1 2024,3,NFL games today,1M+,NFL Week 18 schedule and playoff implications,NFL.com,"Final regular season games determine playoff seeding",NFL playoffs; Football schedule; Week 18
20240101,Jan 1 2024,4,Polar bear plunge,500K+,Thousands take icy New Year's plunge,USA Today,"Annual polar bear plunge events held across the nation",Polar plunge; New Year tradition; Cold water swim
20240101,Jan 1 2024,5,New Year's resolutions,500K+,Top New Year's resolutions for 2024,Forbes,"Health fitness and financial goals top the list for Americans",Resolution ideas; Goal setting; Self improvement
20240102,Jan 2 2024,1,Ohio State,2M+,Ohio State wins Sugar Bowl in thriller,ESPN,"Buckeyes defeat Georgia 42-41 in instant classic",Sugar Bowl; College Football; Buckeyes
20240102,Jan 2 2024,2,Winter storm warning,1M+,Major winter storm to impact East Coast,Weather Channel,"Snow and ice expected from Virginia to Maine",Snow forecast; East Coast weather; Winter weather
20240102,Jan 2 2024,3,Powerball,800K+,Powerball jackpot reaches $500 million,NBC News,"No winner in Monday drawing jackpot continues to grow",Lottery; Jackpot; Powerball numbers
20240102,Jan 2 2024,4,Back to work,500K+,Strategies for returning to work after holidays,Business Insider,"Tips for getting back into work mode after extended break",Work motivation; Post-holiday blues; Productivity tips
20240102,Jan 2 2024,5,CES 2024,500K+,Consumer Electronics Show kicks off in Las Vegas,TechCrunch,"Latest tech innovations unveiled at CES 2024",Tech news; CES; Electronics
20240103,Jan 3 2024,1,Iowa caucus,2M+,Iowa caucus less than two weeks away,CNN,"Candidates make final push in Iowa ahead of caucuses",Republican primary; Iowa; Presidential race
20240103,Jan 3 2024,2,Earthquake California,1M+,4.2 magnitude earthquake rattles Southern California,LA Times,"No major damage reported from Tuesday morning quake",California earthquake; Seismic activity; LA earthquake
20240103,Jan 3 2024,3,Stock market today,800K+,Dow rises to start 2024,CNBC,"Major indices post gains in first trading session of year",Stock market news; Dow Jones; Nasdaq
20240103,Jan 3 2024,4,Flu season,600K+,Flu cases surge across United States,CDC,"Health officials urge vaccination as flu season intensifies",Flu symptoms; Flu shot; Influenza
20240103,Jan 3 2024,5,CFP Championship,500K+,Michigan vs Washington in National Championship,ESPN,"Title game set for January 8 in Houston",College Football Championship; Michigan; Washington
20240104,Jan 4 2024,1,Gypsy Rose Blanchard,3M+,Gypsy Rose Blanchard released from prison,People,"Blanchard freed after serving time for mother's murder",Gypsy Rose; Prison release; True crime
20240104,Jan 4 2024,2,Golden Globes 2024,2M+,2024 Golden Globe nominations announced,Variety,"Oppenheimer and Barbie lead film nominations",Golden Globes; Awards season; Movie awards
20240104,Jan 4 2024,3,Harvard president,1M+,Harvard president faces plagiarism allegations,Harvard Crimson,"Claudine Gay responds to accusations",Harvard; University president; Academic misconduct
20240104,Jan 4 2024,4,NBA games tonight,800K+,Lakers face Celtics in marquee matchup,ESPN,"LeBron James vs Jayson Tatum highlights Thursday slate",NBA schedule; Lakers; Celtics
20240104,Jan 4 2024,5,Winter Olympics,600K+,100 days until Paris Olympics,Olympics.com,"Countdown begins to 2024 Summer Games",Paris Olympics; Olympics 2024; Summer Olympics
